term,length
/0.04/,6
/0.05/,6
/0.80,5
/2/,3
/3/,3
/4/,3
/aerothermochemical/,20
/all,4
/alternating,12
/associated,11
/at,3
/body,5
/charge,7
/compressible,13
/core/,6
/d/,3
/decaying,9
/destalling/,12
/discussion,11
/effective,10
/equivalent,11
/errors/,8
/exact/,7
/excluding,10
/fundamental/,13
/heat,5
/hypersonic,11
/ignorable,10
/incompressible,15
/intermediate,13
/jet,4
/joint,6
/kopal,6
/laminar,8
/local,6
/magnus/,8
/merged,7
/near/,6
/newtonian/,11
/planes,7
/quasi,6
/restricted,11
/reverse/,9
/ring,5
/rotational/,12
/scale/,7
/schmidt,8
/similarity,11
/space/,7
/specific,9
/spillage/,10
/spread/,8
/stacking/,10
/standardize/,13
/static/,8
/steady,7
/stokes,7
/strong/,8
/subsonic,9
/superfast/,11
/tailored,9
/thin/,6
/tietjens,9
/trailing,9
/very,5
/viscous,8
8(1944,6
abbreviate,10
ability,7
ablate,6
ablating,8
ablation,8
ablative,8
able,4
abrupt,6
absence,7
absent,6
absolute,8
absorb,6
absorption,10
abstract,8
academic,8
accelerate,10
accelerated,11
acceleration,12
accelerator,11
accelerometer,13
accentuate,10
accept,6
acceptability,13
acceptable,10
accessible,10
accidental,10
accommodate,11
accommodation,13
accompany,9
accomplish,10
accord,6
accordance,10
account,7
accountable,11
accrue,6
accumulate,10
accumulation,12
accuracy,8
accurate,8
acetate,7
achievable,10
achieve,7
achieving,9
ackeret,7
acoustic,8
acoustical,10
acquire,7
acquisition,11
acrodynamic,11
acrothermochemistry,19
acrothermoelasticity,20
act,3
acting,6
action,6
activation,10
active,6
activity,8
actual,6
actural,7
adapt,5
adaptable,9
adaptation,10
add,3
addendum,8
addition,8
additional,10
additive,8
adequacy,8
adequate,8
adiabatic,9
adjacent,8
adjoin,6
adjoint,7
adjust,6
adjustable,10
adjustment,10
administration,14
admissible,10
admit,5
admixture,9
adopt,5
adsorption,10
advance,7
advanced,8
advantage,9
advantageous,12
advent,6
adverse,7
advocate,8
aec,3
aeolotropic,11
aerelastic,10
aerfoils,8
aerial,6
aero,4
aeroballistics,14
aerodynamic,11
aerodynamics,12
aerodynamieist,14
aeroelastic,11
aeroelastician,14
aeroelasticity,14
aerofoil,8
aeronautical,12
aeronautics,11
aeroplane,9
aerothermal,11
aerothermodynamic,17
aerothermoelastic,17
affect,6
affinity,8
affirmative,11
afford,6
aforementioned,14
aft,3
afterbodies,11
afterbody,9
afterburner,11
afterburning,12
afterflow,9
age,3
agency,6
agree,5
agreement,9
aid,3
ailcron,7
aileron,7
aim,3
air,3
air/,4
airborne,8
aircraft,8
airflow,7
airfoil,7
airforce,8
airframe,8
airliner,8
airload,7
airloads,8
airplane,8
airscrew,8
airspeed,8
airstream,9
akin,4
alfven,6
algebraic,9
align,5
alleviate,9
alleviation,11
allmovable,10
allow,5
allowable,9
allowance,9
alloy,5
allude,6
alminar,7
alter,5
alteration,10
alternate,9
alternative,11
altitude,8
aluminium,9
aluminum,8
ambient,7
ambiguity,9
amenable,8
american,8
ammonium,8
amount,6
ample,5
amplification,13
amplifier,9
amplify,7
amplitude,9
analog,6
analogous,9
analogue,8
analoguous,10
analogy,7
analogy/,8
analyse,7
analyser,8
analysis,8
analytic,8
analytical,10
analyzable,10
analyze,7
analyzer,8
anemometer,10
angle,5
angled,6
angular,7
anh,3
anhedral,8
